usuario_id;idade;renda_mensal;curso;periodo_curso;ano_curso;tem_veiculo;prefere_republica;data_cadastro;origem_cidade;recebe_auxilio_familia
24;28;963,71;Psicologia;Vespertino;3;True;True;2024-09-24;Mesma Cidade;False
25;23;922,01;Medicina;Matutino;3;True;True;2024-11-13;Mesma Cidade;True
26;19;1180,95;Arquitetura;Matutino;5;False;True;2024-01-22;Mesma Cidade;True
27;18;2606,42;Arquitetura;Vespertino;5;False;True;2024-12-10;Outro Estado;True
28;24;1068,52;Engenharia;Noturno;2;False;True;2024-02-06;Outro Estado;True
29;20;1329,62;Ciência da Computação;Noturno;4;True;True;2024-03-14;Interior Estado;True
30;23;2994,45;Engenharia;Noturno;5;False;False;2024-01-28;Mesma Cidade;True
31;24;1718,83;Administração;Integral;2;True;False;2024-04-18;Interior Estado;True
32;22;1016,05;Ciência da Computação;Noturno;2;False;True;2024-02-08;Mesma Cidade;True
33;24;800,0;Outros;Vespertino;1;False;True;2024-12-21;Mesma Cidade;True
34;28;1662,43;Direito;Integral;4;False;False;2024-05-24;Interior Estado;True
35;22;3359,74;Direito;Matutino;4;False;True;2024-09-25;Interior Estado;True
36;17;1099,12;Outros;Matutino;3;True;True;2024-05-21;Mesma Cidade;True
37;22;1439,83;Administração;Matutino;2;True;False;2024-10-11;Mesma Cidade;True
38;21;4000,0;Direito;Vespertino;2;False;True;2024-11-19;Mesma Cidade;True
39;26;2479,81;Outros;Noturno;4;False;True;2024-01-25;Outro Estado;False
40;23;1103,43;Psicologia;Integral;2;False;True;2024-01-03;Interior Estado;True
41;21;1495,89;Outros;Integral;3;False;False;2024-10-10;Mesma Cidade;False
42;21;1948,57;Engenharia;Vespertino;1;True;True;2024-01-04;Mesma Cidade;True
43;19;800,0;Ciência da Computação;Noturno;2;False;True;2024-04-17;Mesma Cidade;True
44;19;1200,04;Engenharia;Vespertino;1;False;True;2024-06-07;Mesma Cidade;True
45;18;2917,19;Ciência da Computação;Matutino;2;False;False;2024-01-31;Outro Estado;False
46;21;1280,32;Direito;Vespertino;1;False;True;2024-07-29;Interior Estado;True
47;23;1720,67;Outros;Matutino;3;True;True;2024-01-15;Interior Estado;True
48;26;800,0;Ciência da Computação;Matutino;1;False;False;2024-04-20;Mesma Cidade;True
49;20;1107,73;Ciência da Computação;Integral;3;True;False;2024-01-04;Mesma Cidade;True
50;19;800,0;Ciência da Computação;Noturno;3;True;True;2024-08-06;Mesma Cidade;False
51;18;2363,37;Outros;Vespertino;4;False;True;2024-01-15;Mesma Cidade;False
52;21;800,0;Ciência da Computação;Vespertino;4;True;True;2024-09-16;Interior Estado;False
53;24;1487,58;Arquitetura;Noturno;4;False;True;2024-11-06;Interior Estado;True
54;24;2375,71;Engenharia;Integral;5;False;True;2024-11-26;Outro Estado;True
55;24;1544,03;Engenharia;Matutino;1;False;True;2024-02-28;Mesma Cidade;True
56;24;1341,52;Administração;Integral;3;True;True;2024-10-07;Outro Estado;True
57;29;2066,67;Administração;Vespertino;3;False;True;2024-11-06;Interior Estado;True
58;23;1008,01;Direito;Vespertino;1;False;False;2024-05-14;Outro Estado;True
59;25;1220,49;Psicologia;Vespertino;2;True;True;2024-03-27;Mesma Cidade;True
60;24;800,0;Administração;Noturno;4;False;True;2024-07-12;Outro Estado;True
61;21;4000,0;Outros;Matutino;1;False;False;2024-11-14;Interior Estado;True
62;21;1472,42;Ciência da Computação;Matutino;3;True;True;2024-01-14;Interior Estado;True
63;25;880,49;Outros;Noturno;1;True;False;2024-11-16;Interior Estado;True
64;24;864,43;Arquitetura;Noturno;4;False;True;2024-03-14;Mesma Cidade;False
65;23;1141,27;Psicologia;Matutino;1;False;False;2024-07-17;Interior Estado;True
66;28;1171,42;Administração;Noturno;5;False;True;2024-02-17;Outro Estado;True
67;20;2315,71;Ciência da Computação;Vespertino;4;True;True;2024-05-03;Interior Estado;False
68;22;3198,75;Psicologia;Matutino;4;False;True;2024-01-20;Mesma Cidade;True
69;24;1794,18;Administração;Matutino;5;True;False;2024-08-15;Interior Estado;True
70;24;800,0;Ciência da Computação;Matutino;5;False;False;2024-04-01;Mesma Cidade;True
71;24;800,0;Administração;Matutino;5;False;True;2024-05-07;Mesma Cidade;True
72;25;800,0;Ciência da Computação;Noturno;5;False;True;2024-08-02;Outro Estado;True
73;25;2506,3;Ciência da Computação;Integral;3;False;True;2024-01-01;Outro Estado;False
74;21;1107,29;Outros;Matutino;5;False;False;2024-06-09;Mesma Cidade;True
75;21;2044,76;Engenharia;Vespertino;5;False;False;2024-06-21;Outro Estado;True
76;25;3450,41;Psicologia;Matutino;2;False;True;2024-03-04;Interior Estado;True
77;23;936,66;Psicologia;Integral;1;False;False;2024-08-14;Interior Estado;True
78;20;1762,82;Engenharia;Matutino;5;True;True;2024-10-09;Mesma Cidade;True
79;22;973,32;Arquitetura;Vespertino;2;False;True;2024-08-09;Interior Estado;False
80;20;3814,22;Psicologia;Noturno;1;False;True;2024-09-05;Mesma Cidade;True
81;25;3469,77;Outros;Vespertino;4;False;False;2024-04-23;Mesma Cidade;True
82;21;1519,14;Engenharia;Matutino;1;False;False;2024-03-08;Outro Estado;True
83;21;2433,08;Outros;Integral;1;False;False;2024-07-01;Interior Estado;True
84;23;1510,85;Outros;Noturno;2;False;False;2024-04-03;Mesma Cidade;True
85;18;896,77;Engenharia;Matutino;1;False;False;2024-04-06;Mesma Cidade;False
86;20;800,0;Ciência da Computação;Noturno;1;False;True;2024-05-24;Mesma Cidade;True
87;18;1936,17;Outros;Noturno;3;True;True;2024-10-21;Outro Estado;True
88;18;1765,72;Direito;Integral;2;True;True;2024-03-09;Mesma Cidade;True
89;23;968,11;Arquitetura;Noturno;2;True;False;2024-03-19;Mesma Cidade;True
90;22;800,0;Psicologia;Noturno;3;True;False;2024-02-13;Mesma Cidade;False
91;18;1930,3;Outros;Matutino;1;False;False;2024-06-19;Mesma Cidade;True
92;27;1598,91;Ciência da Computação;Vespertino;1;False;False;2024-05-23;Mesma Cidade;True
93;26;834,97;Ciência da Computação;Noturno;1;True;True;2024-07-19;Mesma Cidade;True
94;20;1601,8;Medicina;Integral;4;True;False;2024-10-12;Mesma Cidade;True
95;18;800,0;Ciência da Computação;Matutino;2;False;False;2024-10-26;Interior Estado;True
96;20;1532,56;Direito;Matutino;5;False;False;2024-01-13;Interior Estado;True
97;21;800,0;Medicina;Noturno;1;True;True;2024-01-24;Interior Estado;False
98;17;2517,78;Psicologia;Vespertino;1;False;False;2024-04-25;Mesma Cidade;True
99;23;1182,03;Arquitetura;Matutino;5;True;True;2024-11-01;Mesma Cidade;True
100;23;845,71;Medicina;Vespertino;4;False;True;2024-01-02;Mesma Cidade;True
101;20;994,2;Engenharia;Matutino;5;False;True;2024-01-24;Interior Estado;True
102;23;1496,86;Outros;Noturno;4;False;False;2024-03-08;Interior Estado;False
103;21;1278,41;Psicologia;Matutino;5;False;False;2024-10-10;Outro Estado;True
104;25;1429,44;Outros;Matutino;2;True;True;2024-05-30;Interior Estado;False
105;21;2542,2;Administração;Noturno;2;False;True;2024-03-13;Mesma Cidade;True
106;26;1045,32;Medicina;Vespertino;1;False;False;2024-02-02;Mesma Cidade;True
107;26;800,0;Medicina;Integral;2;True;True;2024-01-30;Interior Estado;True
108;19;3017,73;Engenharia;Noturno;1;False;False;2024-06-21;Interior Estado;True
109;17;3760,73;Engenharia;Noturno;5;False;True;2024-02-15;Mesma Cidade;True
110;22;800,0;Psicologia;Integral;5;False;True;2024-06-19;Interior Estado;True
111;24;800,0;Psicologia;Noturno;3;False;False;2024-04-30;Outro Estado;True
112;25;1121,53;Arquitetura;Vespertino;1;False;True;2024-02-08;Mesma Cidade;True
113;28;3729,58;Outros;Integral;2;True;False;2024-04-01;Mesma Cidade;True
114;21;4000,0;Engenharia;Noturno;2;False;True;2024-01-05;Interior Estado;True
115;20;1178,91;Direito;Noturno;4;False;False;2024-11-04;Mesma Cidade;True
116;21;800,0;Administração;Noturno;1;False;False;2024-01-08;Outro Estado;True
117;24;800,0;Engenharia;Vespertino;4;False;False;2024-02-17;Mesma Cidade;True
118;23;925,28;Direito;Noturno;1;True;True;2024-05-29;Mesma Cidade;True
119;20;4000,0;Outros;Noturno;5;True;True;2024-05-03;Interior Estado;True
120;20;4000,0;Engenharia;Noturno;2;False;True;2024-06-19;Interior Estado;True
121;26;3417,57;Outros;Integral;4;True;False;2024-10-29;Interior Estado;True
122;17;978,08;Outros;Vespertino;5;False;True;2024-11-05;Outro Estado;False
123;22;800,0;Medicina;Matutino;5;True;True;2024-10-07;Mesma Cidade;True
124;19;4000,0;Administração;Vespertino;1;True;False;2024-03-31;Mesma Cidade;True
125;19;1200,88;Ciência da Computação;Vespertino;1;True;True;2024-07-03;Mesma Cidade;True
126;21;1035,18;Outros;Vespertino;3;False;False;2024-07-30;Mesma Cidade;True
127;17;1859,18;Engenharia;Integral;2;True;False;2024-04-16;Mesma Cidade;True
128;22;836,67;Outros;Noturno;2;False;True;2024-08-05;Interior Estado;False
129;21;800,0;Administração;Noturno;4;False;False;2024-11-30;Mesma Cidade;True
130;20;800,0;Direito;Integral;4;False;True;2024-06-12;Outro Estado;True
131;22;1894,85;Ciência da Computação;Noturno;3;True;False;2024-11-16;Outro Estado;True
132;18;1100,85;Engenharia;Matutino;1;False;True;2024-06-28;Mesma Cidade;True
133;24;2276,34;Outros;Noturno;3;False;True;2024-01-10;Outro Estado;False
134;19;1422,18;Administração;Vespertino;1;False;True;2024-12-31;Interior Estado;True
135;18;862,12;Psicologia;Vespertino;3;False;True;2024-11-16;Interior Estado;True
136;21;800,0;Engenharia;Matutino;1;False;True;2024-04-27;Outro Estado;True
137;18;1092,55;Engenharia;Noturno;1;False;True;2024-10-17;Mesma Cidade;True
138;21;1348,48;Ciência da Computação;Matutino;4;True;True;2024-05-08;Interior Estado;False
139;20;800,0;Engenharia;Vespertino;2;True;True;2024-04-26;Mesma Cidade;True
140;20;800,0;Outros;Noturno;3;False;True;2024-01-12;Interior Estado;True
141;20;800,0;Direito;Matutino;2;False;False;2024-05-30;Interior Estado;True
142;20;895,28;Ciência da Computação;Noturno;2;False;False;2024-01-18;Interior Estado;True
143;23;4000,0;Arquitetura;Integral;3;False;False;2024-02-09;Interior Estado;False
144;28;2499,68;Arquitetura;Noturno;3;True;False;2024-08-13;Mesma Cidade;True
145;18;2447,6;Ciência da Computação;Vespertino;2;False;True;2024-06-02;Mesma Cidade;True
146;23;1123,24;Ciência da Computação;Integral;2;False;True;2024-03-25;Mesma Cidade;True
147;20;800,0;Administração;Vespertino;3;True;False;2024-02-03;Interior Estado;True
148;20;2255,93;Engenharia;Integral;3;True;False;2024-02-05;Mesma Cidade;True
149;18;1304,84;Direito;Vespertino;3;False;True;2024-07-01;Outro Estado;True
150;21;1652,3;Direito;Vespertino;2;True;True;2024-05-26;Outro Estado;True
151;20;1582,97;Arquitetura;Integral;3;False;True;2024-10-14;Outro Estado;True
152;24;1818,66;Direito;Matutino;1;False;False;2024-07-07;Interior Estado;False
153;20;3143,82;Engenharia;Matutino;5;True;False;2024-09-24;Interior Estado;False
154;25;931,08;Direito;Noturno;3;True;True;2024-04-16;Interior Estado;True
155;21;1019,96;Outros;Noturno;1;False;True;2024-06-18;Interior Estado;True
156;28;800,0;Administração;Noturno;1;True;False;2024-10-02;Mesma Cidade;True
157;25;1222,91;Psicologia;Noturno;1;False;False;2024-01-31;Interior Estado;False
158;27;1781,69;Arquitetura;Matutino;2;False;False;2024-03-25;Interior Estado;True
159;18;884,15;Arquitetura;Noturno;2;False;True;2024-10-23;Interior Estado;True
160;28;1088,45;Medicina;Noturno;1;False;False;2024-12-09;Mesma Cidade;True
161;23;2100,3;Direito;Noturno;3;False;True;2024-03-02;Outro Estado;True
162;23;1615,88;Medicina;Noturno;2;False;True;2024-08-30;Interior Estado;True
163;23;2505,51;Arquitetura;Vespertino;1;False;True;2024-07-04;Outro Estado;True
164;27;1500,04;Engenharia;Noturno;1;False;True;2024-04-18;Mesma Cidade;True
165;20;800,0;Arquitetura;Matutino;1;True;False;2024-09-01;Interior Estado;True
166;22;800,0;Ciência da Computação;Integral;1;False;True;2024-12-26;Mesma Cidade;True
167;25;2755,67;Medicina;Integral;5;True;False;2024-09-30;Interior Estado;True
168;20;3200,11;Outros;Noturno;1;False;False;2024-06-03;Interior Estado;True
169;24;1585,94;Direito;Noturno;5;True;True;2024-10-27;Interior Estado;True
170;20;800,0;Engenharia;Vespertino;3;True;False;2024-11-06;Mesma Cidade;True
171;20;2961,92;Psicologia;Integral;1;True;True;2024-11-10;Mesma Cidade;True
172;19;1527,67;Psicologia;Noturno;1;True;False;2024-09-18;Mesma Cidade;False
173;28;1595,53;Ciência da Computação;Vespertino;2;False;True;2024-02-28;Outro Estado;True
174;28;2131,36;Administração;Noturno;4;False;False;2024-01-31;Outro Estado;True
175;20;800,0;Outros;Vespertino;3;False;False;2024-12-16;Interior Estado;True
176;24;880,7;Outros;Matutino;5;False;True;2024-06-20;Interior Estado;False
177;20;1317,46;Engenharia;Vespertino;2;False;False;2024-06-26;Interior Estado;True
178;23;2053,31;Administração;Noturno;2;False;True;2024-03-05;Mesma Cidade;True
179;21;1270,69;Psicologia;Matutino;5;False;False;2024-04-30;Interior Estado;True
180;24;1294,38;Outros;Noturno;5;True;True;2024-05-08;Interior Estado;True
181;27;800,0;Outros;Noturno;4;False;False;2024-03-02;Mesma Cidade;False
182;20;2638,83;Engenharia;Integral;4;False;True;2024-10-30;Outro Estado;True
183;18;1265,41;Medicina;Vespertino;1;True;False;2024-12-17;Interior Estado;True
184;28;1466,71;Arquitetura;Noturno;1;False;True;2024-08-18;Interior Estado;True
185;29;800,0;Direito;Matutino;4;True;True;2024-03-03;Outro Estado;True
186;23;800,0;Administração;Integral;4;False;True;2024-12-02;Mesma Cidade;True
187;21;812,06;Ciência da Computação;Noturno;5;True;False;2024-10-28;Interior Estado;False
188;25;1708,75;Administração;Matutino;1;True;True;2024-03-11;Interior Estado;True
189;22;1432,87;Administração;Matutino;2;False;False;2024-09-25;Interior Estado;True
190;27;1351,8;Psicologia;Integral;1;True;False;2024-01-21;Interior Estado;False
191;20;800,0;Medicina;Noturno;4;False;True;2024-05-10;Interior Estado;False
192;25;1634,15;Medicina;Noturno;4;False;True;2024-08-29;Interior Estado;True
193;24;2664,89;Engenharia;Vespertino;4;False;False;2024-02-06;Mesma Cidade;True
194;20;3922,17;Psicologia;Vespertino;1;True;True;2024-01-29;Outro Estado;True
195;19;2227,28;Medicina;Noturno;1;True;True;2024-10-07;Outro Estado;False
196;23;2472,16;Ciência da Computação;Matutino;5;False;False;2024-07-17;Mesma Cidade;True
197;19;955,2;Psicologia;Noturno;2;False;True;2024-02-25;Mesma Cidade;False
198;22;800,0;Engenharia;Noturno;5;False;True;2024-12-20;Outro Estado;True
199;21;905,23;Outros;Integral;1;False;True;2024-07-28;Interior Estado;True
200;24;1990,81;Outros;Noturno;2;False;False;2024-05-07;Mesma Cidade;True
201;17;2571,99;Direito;Noturno;2;False;False;2024-09-07;Mesma Cidade;True
202;24;800,0;Outros;Matutino;4;False;True;2024-09-22;Interior Estado;False
203;21;2559,57;Outros;Noturno;3;False;True;2024-07-16;Interior Estado;True
204;17;3091,51;Direito;Noturno;4;False;True;2024-10-28;Interior Estado;True
205;25;1320,6;Administração;Integral;4;True;True;2024-06-22;Mesma Cidade;True
206;21;2456,44;Outros;Matutino;1;True;True;2024-11-25;Mesma Cidade;False
207;24;986,5;Engenharia;Noturno;3;False;True;2024-02-10;Mesma Cidade;True
208;24;2504,28;Arquitetura;Vespertino;3;False;False;2024-08-18;Outro Estado;True
209;25;932,02;Outros;Noturno;4;False;True;2024-06-27;Interior Estado;False
210;20;2217,95;Outros;Integral;3;True;True;2024-02-15;Mesma Cidade;True
211;23;2223,67;Arquitetura;Noturno;3;True;True;2024-07-13;Mesma Cidade;False
212;20;800,0;Outros;Vespertino;4;False;False;2024-05-17;Outro Estado;True
213;20;1181,73;Administração;Vespertino;4;False;False;2024-06-04;Interior Estado;False
214;28;800,0;Engenharia;Integral;5;True;True;2024-07-13;Mesma Cidade;True
215;20;887,99;Administração;Integral;1;True;True;2024-12-18;Interior Estado;False
216;27;1758,42;Ciência da Computação;Noturno;4;False;True;2024-07-27;Outro Estado;True
217;22;1209,08;Direito;Vespertino;2;True;True;2024-01-13;Outro Estado;True
218;20;800,0;Direito;Matutino;3;False;False;2024-12-05;Mesma Cidade;True
219;17;800,0;Engenharia;Matutino;1;False;True;2024-12-11;Outro Estado;True
220;25;1162,0;Direito;Integral;4;False;True;2024-02-23;Mesma Cidade;False
221;24;984,54;Ciência da Computação;Noturno;1;True;False;2024-05-01;Interior Estado;True
222;19;1095,56;Engenharia;Integral;3;True;False;2024-07-28;Interior Estado;True
223;20;1015,73;Psicologia;Integral;4;False;True;2024-11-09;Mesma Cidade;False
224;25;1584,13;Outros;Noturno;4;False;False;2024-03-09;Interior Estado;True
225;29;1011,58;Arquitetura;Integral;2;False;False;2024-11-05;Interior Estado;True
226;20;945,3;Engenharia;Integral;3;False;True;2024-04-28;Outro Estado;True
227;23;916,05;Direito;Matutino;4;False;False;2024-10-01;Interior Estado;True
228;24;1439,42;Outros;Integral;2;False;True;2024-09-06;Outro Estado;False
229;18;1741,11;Outros;Matutino;3;False;False;2024-03-12;Interior Estado;True
230;19;800,0;Ciência da Computação;Vespertino;5;False;False;2024-04-17;Interior Estado;True
231;20;1307,2;Administração;Matutino;5;False;True;2024-04-13;Outro Estado;True
232;19;1723,32;Outros;Integral;1;True;True;2024-01-13;Mesma Cidade;True
233;23;956,62;Direito;Integral;3;False;True;2024-08-08;Interior Estado;False
234;20;1396,43;Outros;Vespertino;3;False;True;2024-09-14;Mesma Cidade;True
235;21;4000,0;Arquitetura;Vespertino;4;False;True;2024-10-14;Interior Estado;True
236;21;800,0;Administração;Matutino;3;False;True;2024-12-13;Interior Estado;True
237;20;800,0;Engenharia;Integral;5;False;True;2024-02-05;Interior Estado;True
238;19;800,0;Administração;Matutino;1;False;True;2024-01-17;Interior Estado;True
239;22;1200,95;Ciência da Computação;Vespertino;2;False;True;2024-04-26;Interior Estado;False
240;19;2051,78;Outros;Integral;3;True;True;2024-01-14;Mesma Cidade;True
241;20;1335,48;Engenharia;Matutino;3;False;False;2024-12-28;Interior Estado;False
242;18;1247,71;Outros;Noturno;1;True;False;2024-09-07;Interior Estado;True
243;26;800,0;Engenharia;Matutino;2;False;True;2024-05-17;Mesma Cidade;False
244;18;1643,09;Engenharia;Noturno;1;False;True;2024-04-24;Mesma Cidade;True
245;19;1252,6;Ciência da Computação;Matutino;5;True;True;2024-12-08;Mesma Cidade;True
246;21;2069,43;Psicologia;Noturno;5;False;False;2024-06-26;Mesma Cidade;False
247;20;839,95;Direito;Matutino;3;False;False;2024-09-26;Outro Estado;False
248;24;800,0;Outros;Noturno;1;True;True;2024-08-23;Interior Estado;True
249;22;1559,89;Arquitetura;Noturno;1;False;False;2024-09-10;Mesma Cidade;True
250;24;800,0;Administração;Noturno;2;True;True;2024-08-21;Interior Estado;True
251;23;800,0;Outros;Noturno;4;False;True;2024-09-18;Interior Estado;True
252;23;1187,35;Administração;Noturno;5;False;True;2024-12-18;Outro Estado;True
253;17;1822,66;Administração;Vespertino;4;True;False;2024-08-09;Mesma Cidade;True
254;26;1660,99;Ciência da Computação;Integral;2;True;True;2024-12-22;Interior Estado;False
255;22;2549,14;Outros;Matutino;2;True;True;2024-07-04;Interior Estado;True
256;18;2797,49;Ciência da Computação;Noturno;3;False;True;2024-09-09;Outro Estado;True
257;22;2173,9;Outros;Noturno;3;False;True;2024-11-05;Outro Estado;False
258;28;2993,43;Outros;Vespertino;5;False;False;2024-07-11;Outro Estado;False
259;23;2081,26;Outros;Matutino;1;False;False;2024-07-20;Interior Estado;True
260;25;2627,93;Administração;Integral;4;False;False;2024-09-29;Outro Estado;True
261;28;1439,39;Arquitetura;Vespertino;1;False;False;2024-05-08;Mesma Cidade;True
262;23;1961,37;Outros;Integral;1;True;False;2024-12-25;Interior Estado;True
263;24;1678,58;Arquitetura;Vespertino;2;False;True;2024-10-03;Mesma Cidade;False
264;19;2327,49;Ciência da Computação;Noturno;5;True;False;2024-05-01;Mesma Cidade;True
265;21;1239,89;Administração;Noturno;1;True;True;2024-05-03;Mesma Cidade;False
266;23;961,5;Ciência da Computação;Matutino;2;False;True;2024-08-30;Interior Estado;True
267;19;800,0;Direito;Vespertino;1;False;False;2024-04-25;Interior Estado;False
268;18;1153,24;Outros;Noturno;4;True;True;2024-09-16;Outro Estado;True
269;18;975,03;Psicologia;Matutino;4;False;False;2024-08-30;Interior Estado;True
270;24;4000,0;Outros;Integral;4;False;True;2024-10-21;Mesma Cidade;True
271;27;2150,73;Outros;Integral;4;False;False;2024-07-21;Outro Estado;False
272;29;1592,74;Direito;Noturno;2;False;True;2024-01-28;Mesma Cidade;True
273;22;3231,37;Engenharia;Matutino;2;False;False;2024-12-31;Mesma Cidade;True
274;24;896,91;Arquitetura;Vespertino;4;False;True;2024-02-01;Mesma Cidade;False
275;23;1287,45;Psicologia;Vespertino;5;False;False;2024-06-30;Outro Estado;False
276;23;1292,73;Medicina;Noturno;3;True;True;2024-03-24;Outro Estado;False
277;24;1914,92;Direito;Integral;5;False;True;2024-09-03;Interior Estado;False
278;21;800,0;Ciência da Computação;Noturno;2;False;True;2024-08-29;Interior Estado;True
279;19;800,0;Direito;Integral;2;True;True;2024-05-24;Interior Estado;True
280;21;1526,33;Direito;Matutino;2;True;True;2024-12-05;Interior Estado;True
281;17;1162,0;Direito;Matutino;3;True;True;2024-06-30;Outro Estado;True
282;27;1702,0;Direito;Noturno;3;True;True;2024-06-09;Outro Estado;True
283;18;1279,79;Direito;Vespertino;1;True;True;2024-04-19;Interior Estado;True
284;21;1599,64;Ciência da Computação;Integral;2;True;False;2024-06-12;Interior Estado;True
285;24;1558,48;Outros;Integral;2;False;True;2024-02-26;Mesma Cidade;True
286;20;800,0;Outros;Noturno;1;False;True;2024-05-05;Outro Estado;True
287;28;4000,0;Ciência da Computação;Noturno;1;True;True;2024-04-01;Mesma Cidade;True
288;18;1925,04;Engenharia;Integral;2;False;False;2024-02-15;Mesma Cidade;True
289;25;1793,63;Direito;Noturno;5;False;True;2024-11-26;Interior Estado;True
290;21;800,0;Medicina;Matutino;4;False;True;2024-11-26;Outro Estado;True
291;27;1002,42;Engenharia;Matutino;3;False;True;2024-09-19;Interior Estado;True
292;22;834,06;Ciência da Computação;Vespertino;5;False;True;2024-04-08;Interior Estado;True
293;22;2023,83;Direito;Integral;3;False;True;2024-03-30;Mesma Cidade;True
294;21;2950,89;Ciência da Computação;Noturno;3;False;True;2024-11-22;Outro Estado;True
295;24;1114,98;Medicina;Integral;4;True;False;2024-04-15;Mesma Cidade;True
296;19;1772,75;Engenharia;Integral;2;True;True;2024-01-24;Interior Estado;False
297;24;2349,33;Engenharia;Matutino;3;True;False;2024-02-01;Interior Estado;True
298;21;2066,32;Ciência da Computação;Integral;1;False;True;2024-09-12;Mesma Cidade;False
299;27;1026,0;Outros;Vespertino;1;False;False;2024-08-31;Outro Estado;True
300;29;1952,47;Administração;Vespertino;1;False;True;2024-10-19;Interior Estado;False
301;19;814,66;Medicina;Matutino;1;False;True;2024-02-04;Outro Estado;True
302;21;1494,18;Engenharia;Vespertino;5;False;True;2024-11-18;Outro Estado;False
303;26;1377,8;Outros;Matutino;3;False;True;2024-02-28;Mesma Cidade;True
304;23;3279,74;Administração;Noturno;3;False;False;2024-06-15;Outro Estado;True
305;22;800,0;Psicologia;Vespertino;2;True;False;2024-01-04;Interior Estado;False
306;25;800,0;Outros;Noturno;1;False;True;2024-02-02;Mesma Cidade;True
307;23;1930,05;Engenharia;Noturno;4;False;False;2024-10-12;Interior Estado;True
308;24;4000,0;Outros;Matutino;3;False;True;2024-02-19;Interior Estado;True
309;21;800,0;Medicina;Noturno;1;False;False;2024-08-07;Interior Estado;True
310;29;4000,0;Outros;Matutino;5;False;True;2024-12-02;Mesma Cidade;True
311;17;800,0;Outros;Noturno;3;False;False;2024-12-14;Outro Estado;False
312;20;800,0;Administração;Noturno;2;False;False;2024-04-26;Interior Estado;True
313;22;800,0;Outros;Integral;1;True;True;2024-10-09;Interior Estado;True
314;23;853,95;Engenharia;Vespertino;2;True;True;2024-08-10;Outro Estado;True
315;25;2488,3;Engenharia;Noturno;1;False;True;2024-10-30;Interior Estado;False
316;28;2323,12;Outros;Noturno;2;True;True;2024-10-24;Interior Estado;True
317;25;1072,39;Administração;Noturno;4;True;True;2024-06-09;Outro Estado;True
318;20;2055,3;Engenharia;Vespertino;2;False;False;2024-11-14;Interior Estado;True
319;20;800,0;Administração;Noturno;1;True;True;2024-12-26;Mesma Cidade;True
320;20;1279,05;Psicologia;Vespertino;1;True;False;2024-04-13;Outro Estado;False
321;20;800,0;Outros;Integral;3;False;True;2024-07-08;Outro Estado;True
322;17;800,0;Outros;Noturno;5;False;True;2024-05-23;Mesma Cidade;True
323;17;800,0;Outros;Matutino;5;False;True;2024-08-03;Outro Estado;True
324;29;1232,74;Outros;Integral;1;False;False;2024-06-10;Mesma Cidade;True
325;28;3533,04;Outros;Matutino;2;True;True;2024-01-31;Outro Estado;True
326;19;4000,0;Ciência da Computação;Noturno;5;False;True;2024-09-02;Mesma Cidade;True
327;27;800,0;Engenharia;Matutino;1;False;False;2024-10-09;Outro Estado;True
328;22;2511,11;Administração;Matutino;1;False;True;2024-04-26;Outro Estado;True
329;19;1891,64;Engenharia;Noturno;1;True;True;2024-11-22;Outro Estado;True
330;22;1188,93;Medicina;Noturno;2;False;True;2024-06-06;Interior Estado;True
